Name,Price,Cuisine Category,City,Region,Cuisine Types,Rating Types,Rating
Aastha Family Dhaba,350,North Indian,Agra,Tajganj,Quick Bites,Average,3.2
Me & My Choice,500,Fast Food,Agra,Shahganj,Quick Bites,Average,3.4
AJ's Cafe & Bakery,300,Cafe,Agra,Agra Cantt,Cafe,Average,2.8
Moti Mahal Restaurant,800,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,3.0
Djlecious By Divya,400,Bakery,Agra,Mantola,Others,Average,3.4
Bazaar Cafe,400,Cafe,Agra,Sikandra,Cafe,Average,3.4
Royals Cafe Corner Restaurant,700,"Cafe,North Indian,Chinese,Continental",Agra,Tajganj,Cafe,Average,3.2
Choki Dhani - Rajasthani Bhojnalya,200,"Rajasthani,North Indian",Agra,Sikandra,Quick Bites,Average,3.1
Ravi Fast Food,200,Fast Food,Agra,Civil Lines,Quick Bites,Good,3.6
Food Factory,100,Fast Food,Agra,Sikandra,Quick Bites,Average,3.4
Biryani Point,150,Biryani,Agra,Shahganj,Quick Bites,Average,3.4
Freshop,200,Fast Food,Agra,Civil Lines,Quick Bites,Average,3.4
Ceezak Food Corner,350,"Chinese,Fast Food",Agra,Arjun Nagar,Quick Bites,Average,3.3
China Town,200,Fast Food,Agra,Shahganj,Quick Bites,Average,3.3
New Chetna Store Patties Hub,100,Fast Food,Agra,Civil Lines,Quick Bites,Average,3.4
Burgero,400,"Burger,Fast Food",Agra,Shahganj,Quick Bites,Average,2.8
Sri Balaji Restaurant,500,"South Indian,North Indian,Beverages",Agra,Tajganj,Casual Dining,Average,3.4
Freaky Burger,200,Burger,Agra,Rakabganj,Quick Bites,Average,3.1
Sanjay Food Corner,100,North Indian,Agra,Sikandra,Quick Bites,Average,3.2
Punjabi Tadka,100,"Fast Food,North Indian",Agra,Sikandra,Quick Bites,Average,3.3
Thug Truck,150,"Fast Food,Chinese",Agra,Khandari,Food Truck,Average,3.4
Shri Radhay Chaat Bhandar,150,Fast Food,Agra,Kamla Nagar,Others,Average,3.4
the bollywood fries,200,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.2
Wow Vada Pav,200,"Street Food,Wraps,Burger",Agra,Sikandra,Quick Bites,Average,3.3
Sprinkle Bakery And Fast Food,200,"Bakery,Fast Food",Agra,Sikandra,Bakery,Average,3.4
Speise Restaurant,500,"Biryani,Chinese,Mughlai,Indian",Agra,Tajganj,Casual Dining,Average,3.3
Sagra,200,Fast Food,Agra,Agra Cantt,Quick Bites,Average,3.4
Dr Cake And Confectionery,150,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.3
Isha Food Plaza,150,"Fast Food,Bakery",Agra,Dayal Bagh,Quick Bites,Average,3.3
Taste And Food,150,North Indian,Agra,Sikandra,Quick Bites,Average,3.4
Food Paradise,200,"Bakery,Desserts",Agra,Sikandra,Bakery,Average,3.1
Club 2100,300,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.3
FCB Fast Food Corner,300,Fast Food,Agra,Tajganj,Quick Bites,Average,3.2
Habova's BL Food Plaza,350,"Chinese,Indian,North Indian",Agra,Sikandra,Quick Bites,Average,3.2
Rola Wala,400,"Rolls,Chinese,Momos",Agra,Khandari,Quick Bites,Good,3.6
Amartsari Naan Thali,200,North Indian,Agra,Civil Lines,Quick Bites,Average,3.0
Chinu Restaurant,400,North Indian,Agra,Kamla Nagar,Casual Dining,Average,3.1
Riya dairy & fast food,100,Fast Food,Agra,Dayal Bagh,Quick Bites,Average,3.3
Tasty Bite Restaurant,800,"North Indian,Chinese",Agra,Tajganj,Casual Dining,Average,2.9
Indo American Foods,150,"Fast Food,Italian",Agra,Dayal Bagh,Quick Bites,Average,3.3
JMB Bakery,350,"Bakery,Fast Food",Agra,Sikandra,Quick Bites,Average,3.1
Pracheen Petha,410,Desserts,Agra,Civil Lines,Sweet Shop,Good,3.5
Anokhe Paratha,150,North Indian,Agra,Tajganj,Quick Bites,Average,3.3
Yadav Dhaba Purana,300,North Indian,Agra,Civil Lines,Dhaba,Good,3.9
Mocha,1500,"Cafe,Italian,Chinese,Continental,North Indian",Agra,Tajganj,Cafe,Very Good,4.3
Jahanpanah,850,"North Indian,Mughlai",Agra,Agra Cantt,Casual Dining,Good,3.9
Subway,500,"Healthy Food,Sandwich,Salad",Agra,Khandari,Quick Bites,Very Good,4.1
Papa Ji Da Dhaba,250,North Indian,Agra,Civil Lines,Dhaba,Very Good,4.0
Pind Balluchi,1000,"North Indian,Mughlai",Agra,Tajganj,Casual Dining,Very Good,4.2
Chapter 1 Cafe,1000,"Cafe,Italian,Mexican,North Indian,Continental",Agra,Tajganj,Cafe,Very Good,4.2
Sugar N Thyme,1000,"Cafe,Chinese,Thai,Continental,Italian,Bakery,Desserts",Agra,Tajganj,Cafe,Very Good,4.3
Amritsari Kulcha Junction,600,North Indian,Agra,Civil Lines,Quick Bites,Very Good,4.1
G Thal,900,"Rajasthani,Gujarati,Mughlai",Agra,Khandari,Casual Dining,Good,3.7
D'Delicia,1600,"North Indian,Chinese,Mexican,Italian",Agra,Tajganj,Fine Dining,Excellent,4.6
Jain Restaurant,500,North Indian,Agra,Shahganj,Quick Bites,Very Good,4.2
Bhadawar Hotel,200,North Indian,Agra,Mantola,Quick Bites,Very Good,4.0
Thaaliwala,700,"North Indian,Fast Food",Agra,Tajganj,Casual Dining,Very Good,4.0
The Forest,800,Indian,Agra,Sikandra,Casual Dining,Good,3.7
Burger Panda,250,"Burger,Fast Food",Agra,Shahganj,Quick Bites,Good,3.9
Apollo Foods,400,Bakery,Agra,Civil Lines,Quick Bites,Average,3.1
Dear Shoppy,200,Fast Food,Agra,Khandari,Quick Bites,Average,3.3
Shri Mahaveer Bakery And Confectionery,150,"Desserts,Bakery",Agra,Sikandra,Bakery,Average,3.1
Mr. Food,200,Fast Food,Agra,Shahganj,Quick Bites,Average,3.4
Chai Dose,100,Tea,Agra,Dayal Bagh,Others,Average,3.4
Sukoon Restaurant,850,"North Indian,Desserts,Chinese,Biryani",Agra,Tajganj,Casual Dining,Good,3.5
Agarwal Sweet House,300,Mithai,Agra,Khandari,Sweet Shop,Good,3.5
Foodie Bites,250,"North Indian,Fast Food",Agra,Sikandra,Others,Average,3.1
S.R Restaurant & Fast food,500,"North Indian,Fast Food",Agra,Tajganj,Casual Dining,Average,2.9
Gravy Spicy Tasty,400,North Indian,Agra,Sikandra,Others,Average,3.2
Lick N Bite Bakers,300,Bakery,Agra,Sikandra,Bakery,Average,2.9
K.K Juice House,150,Juices,Agra,Lohamandi,Beverage Shop,Good,3.6
Munna Lal Sweets,150,Mithai,Agra,Mantola,Sweet Shop,Good,3.5
Grilled And Chilled Cafe,100,Fast Food,Agra,Sikandra,Others,Average,3.4
Prince Bakers,250,"Bakery,Fast Food",Agra,Civil Lines,Bakery,Average,3.2
New Agarwal Sweet,250,"Mithai,Street Food",Agra,Shahganj,Sweet Shop,Good,3.5
Cakeshh,800,Bakery,Agra,Dayal Bagh,Bakery,Average,3.2
K.D Bakers,200,Bakery,Agra,Sikandra,Dessert Parlor,Average,3.0
Indian Spice,450,"North Indian,South Indian,Chinese",Agra,Sikandra,Casual Dining,Average,2.8
Shivam Restaurant,250,"North Indian,Chinese,Fast Food",Agra,Tajganj,Quick Bites,Average,3.1
Vintage House,900,"North Indian,Continental",Agra,Tajganj,Casual Dining,Very Good,4.1
Rajmahal Restaurant,1000,"North Indian,Chinese",Agra,Tajganj,Casual Dining,Average,2.8
Naturelo,400,"Ice Cream,Desserts,Beverages",Agra,Civil Lines,Dessert Parlor,Very Good,4.0
Maruti Restaurant,700,"North Indian,South Indian,Chinese",Agra,Khandari,Casual Dining,Average,3.2
Maharaja Agrasen Confectionery,200,Bakery,Agra,Sikandra,Bakery,Average,3.4
Shubhansh Eat And Treat Point,200,Fast Food,Agra,Sikandra,Quick Bites,Average,3.4
Ram Shyam Pan Bhandar,100,Paan,Agra,Kamla Nagar,Paan Shop,Good,3.5
Unique Foodz & Bakez,300,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.2
Shri Jagdamba Bakers,200,"Fast Food,Bakery",Agra,Kamla Nagar,Bakery,Average,3.2
Agarsen Sweets,400,Mithai,Agra,Civil Lines,Sweet Shop,Average,3.2
Indo Italian Street,200,Street Food,Agra,Kamla Nagar,Quick Bites,Average,3.3
Jain Food Court,300,North Indian,Agra,Khandari,Quick Bites,Average,3.1
Cake Room,100,Bakery,Agra,Tajganj,Bakery,Average,3.4
Imran Hot Roll Centre,100,Rolls,Agra,Shahganj,Kiosk,Average,3.2
Veg Express,300,North Indian,Agra,Civil Lines,Others,Average,3.1
Hotel  Neelkanth,300,North Indian,Agra,Civil Lines,Quick Bites,Average,3.4
Govind Ji Sweets,200,"Mithai,Street Food",Agra,Sikandra,Sweet Shop,Good,3.5
Top'n'treat,150,Fast Food,Agra,Khandari,Quick Bites,Average,3.1
Brothers Bistro,500,Cafe,Agra,Kamla Nagar,Cafe,Good,3.5
The Golden Grilled,400,"North Indian,Fast Food",Agra,Khandari,Casual Dining,Average,3.2
Novelty Restaurant,1000,"North Indian,Mughlai",Agra,Rakabganj,Casual Dining,Average,2.8
Gupta Bakery & Sweet Shop,250,Bakery,Agra,Tajganj,Bakery,Average,3.4
Prasadam,100,North Indian,Agra,Khandari,Quick Bites,Average,3.2
Yash Cafe,500,"North Indian,Fast Food",Agra,Tajganj,Casual Dining,Good,3.5
Rathi Ranchhod,200,Mithai,Agra,Sikandra,Sweet Shop,Good,3.5
Anant Krishna Foods,150,Bakery,Agra,Dayal Bagh,Bakery,Average,3.4
Punjabi Van,250,"North Indian,Fast Food",Agra,Kamla Nagar,Quick Bites,Average,2.9
Maggi Magic,200,Fast Food,Agra,Khandari,Quick Bites,Average,3.4
Gaurav Sweets,250,Mithai,Agra,Sikandra,Sweet Shop,Average,3.1
Little Spice Restaurant,250,"North Indian,South Indian,Continental",Agra,Tajganj,Quick Bites,Average,3.4
Ichchha Veg Briyani & Fast Food,200,"Biryani,Fast Food",Agra,Sikandra,Quick Bites,Average,3.2
BUDDIE'S CAFE,311,Cafe,Agra,Kamla Nagar,Cafe,Good,3.8
G Baba Francky Corner,200,Fast Food,Agra,Sikandra,Quick Bites,Average,3.1
Deshraj Ka Dhaba,150,North Indian,Agra,Civil Lines,Quick Bites,Average,3.4
Y NOT Cafe and restaurant,350,Cafe,Agra,Sikandra,Cafe,Good,3.8
Ahan Restaurant - Hotel Trisha Bhoomi Residency,850,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Good,3.5
Bhimsain Baij Nath - Dalmoth Pehta Wala,200,"Mithai,Desserts",Agra,Civil Lines,Dessert Parlor,Good,3.6
Jyoti Family Restaurant,300,North Indian,Agra,Khandari,Quick Bites,Average,3.4
Ganga Khandvi Dhokla House,100,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.4
Abdul Sattar Nashte Wale,150,Fast Food,Agra,Mantola,Quick Bites,Average,3.4
New Riao Restaurant,1000,"North Indian,Chinese,Mughlai,Continental",Agra,Agra Cantt,Casual Dining,Average,2.8
Desi Masala,200,North Indian,Agra,Civil Lines,Quick Bites,Average,3.2
Girraj Restaurant,200,North Indian,Agra,Civil Lines,Quick Bites,Average,3.4
Annapurna,500,"Chinese,Fast Food,North Indian,South Indian",Agra,Tajganj,Quick Bites,Average,3.4
Anjali Sweet,200,"Mithai,Fast Food",Agra,Sikandra,Sweet Shop,Good,3.5
Bedweiser Cafe,350,"North Indian,Fast Food",Agra,Tajganj,Quick Bites,Average,3.2
Gopal Juice Corner,100,Juices,Agra,Sikandra,Beverage Shop,Good,3.6
Relax He Relax Restaurant,800,"North Indian,Chinese",Agra,Tajganj,Quick Bites,Average,3.4
Thali Bhojnalaya,300,"North Indian,South Indian,Chinese",Agra,Tajganj,Quick Bites,Average,3.4
Swad Thali,200,North Indian,Agra,Mantola,Quick Bites,Average,3.4
Vidhi Foods,200,North Indian,Agra,Sikandra,Quick Bites,Average,3.4
Pandit Ji Sweets,200,Mithai,Agra,Shahganj,Sweet Shop,Good,3.5
Jai Pepsi Cafe,100,Street Food,Agra,Dayal Bagh,Quick Bites,Average,3.4
Gupta Ji Restaurant,100,North Indian,Agra,Tajganj,Quick Bites,Average,3.4
Goyal Sweet,250,Mithai,Agra,Kamla Nagar,Sweet Shop,Good,3.5
Jai Pratha King,100,North Indian,Agra,Dayal Bagh,Quick Bites,Average,3.4
New Taj Darbar,900,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Good,3.5
Brijwasi Chat Bandar,100,Street Food,Agra,Sikandra,Quick Bites,Average,3.4
Khan Baba Fruits And Juice Corner,100,Juices,Agra,Sikandra,Beverage Shop,Good,3.6
Eats And Treats,300,Fast Food,Agra,Civil Lines,Others,Average,3.4
JMD Juice and Shakes,250,"Beverages,Fast Food",Agra,Agra Cantt,Beverage Shop,Good,3.6
The Idea Inn,800,"North Indian,Continental,Chinese",Agra,Tajganj,Casual Dining,Good,3.5
Karan Restaurant,1000,"Chinese,North Indian,Fast Food",Agra,Hotel Ganga Ratan-- Tajganj,Casual Dining,Average,3.1
Eggstroke,500,"North Indian,Rolls,Sandwich",Agra,Civil Lines,Quick Bites,Average,3.4
Jain Sweet,200,"Mithai,Desserts",Agra,Sikandra,Sweet Shop,Good,3.5
Pratap Restaurant,500,Cuisine Varies,Agra,Tajganj,Quick Bites,Average,3.4
Shree Dwarikadesh Dosa Corner,200,South Indian,Agra,Sikandra,Quick Bites,Average,3.4
Swad Sweets And Food Paradise,400,"North Indian,South Indian,Chinese",Agra,Shahganj,Quick Bites,Average,3.4
Agra Prasadam,250,North Indian,Agra,Civil Lines,Quick Bites,Average,3.4
Bedariya Ram Gajak Wale,700,Desserts,Agra,Mantola,Quick Bites,Average,3.4
Food By Kilo,250,North Indian,Agra,Civil Lines,Quick Bites,Average,3.4
Rajput Food Corner,150,North Indian,Agra,Civil Lines,Quick Bites,Average,3.4
Zaika's - The Taste,300,North Indian,Agra,Civil Lines,Quick Bites,Average,3.4
Green Park Restaurant,600,"North Indian,Mughlai",Agra,Tajganj,Casual Dining,Good,3.5
Star Chilli,1250,North Indian,Agra,Tajganj,Casual Dining,Good,3.5
The Glass Onion Cafe And Family Corner,250,North Indian,Agra,Dayal Bagh,Quick Bites,Average,3.4
Bansal Sweets,200,Mithai,Agra,Rakabganj,Sweet Shop,Good,3.5
Shree Krishna Murari Misthan Bhandar,200,"Desserts,Street Food,Fast Food",Agra,Dayal Bagh,Sweet Shop,Good,3.5
Mithaas Sweets & Snacks,200,Mithai,Agra,Tajganj,Sweet Shop,Good,3.5
Aapki Rasoi,200,North Indian,Agra,Dayal Bagh,Quick Bites,Average,3.4
Bhadawar Sweets,250,Mithai,Agra,Sikandra,Sweet Shop,Good,3.5
Prema Palace Hotel & Restaurant,1000,North Indian,Agra,Tajganj,Casual Dining,Good,3.5
Cafe Aim Korean Restaurant,350,Korean,Agra,Tajganj,Casual Dining,Good,3.5
